"","type_of_monument_clean","type_of_inscription_auto","n"
"1","NULL","epitaph",153
"2","NULL","votive inscription",9
"3","NULL",NA,10
"4","altar","epitaph",11
"5","altar","votive inscription",32
"6","base","epitaph",2
"7","cliff","epitaph",6
"8","honorific/grave/votive column","epitaph",1
"9","honorific/grave/votive column","votive inscription",1
"10","relief","votive inscription",1
"11","sarcophagus","epitaph",2
"12","statue base","epitaph",1
"13","statue base","votive inscription",2
"14","stele","epitaph",136
"15","stele",NA,1
"16","tabula","epitaph",31
"17","tabula","votive inscription",5
"18","urn","epitaph",3
"19",NA,"epitaph",10
"20",NA,"votive inscription",2
