"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",11
"2","NULL","epitaph",143
"3","NULL","votive inscription",7
"4","altar","epitaph",11
"5","altar","votive inscription",29
"6","base","epitaph",3
"7","cliff","epitaph",6
"8","honorific/grave/votive column","epitaph",1
"9","honorific/grave/votive column","votive inscription",1
"10","relief","votive inscription",1
"11","sarcophagus","epitaph",2
"12","statue base","epitaph",2
"13","statue base","votive inscription",3
"14","stele","NULL",1
"15","stele","epitaph",125
"16","tabula","epitaph",31
"17","tabula","votive inscription",5
"18","urn","epitaph",4
"19",NA,NA,15
