"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,427
"2","Iader",15.223778,44.115501,96
"3","Narona",17.625,43.0801,80
"4","Rider",16.0486,43.7034,80
"5","Burnum",15.9936,44.0317,70
"6","Asseria",15.6844,44.0103,68
"7","Tilurium",16.689,43.6139,50
"8","Bigeste",17.5271,43.1818,41
"9","Aenona",15.1842,44.2435,38
"10","Nedinum",15.5095,44.0721,30
"11","Aequum",16.6547,43.7423,29
"12","Corinium",15.6256,44.1075,25
"13","Albona",14.1232,45.0949,24
"14","Doclea",19.2615,42.469,24
"15","Raetinium",15.9292,44.7885,22
"16","Risinium",18.6969,42.5098,20
"17","Acruvium",18.689,42.4438,17
"18","Apsorus",14.3919,44.693,16
"19","Varvaria",15.9051,43.8892,16
"20","Ninia",16.1994,44.0408,15
"21","Flanona",14.1801,45.1382,14
"22","Municipium Malvesiatium",19.5333,43.9667,14
"23","Epidaurum",18.2137,42.5848,13
"24","Tragurium",16.524,43.5594,13
"25","Municipium Salvium",16.8281,44.1301,11
"26","Scardona",15.9208,43.8227,11
"27","Andetrium",16.5206,43.6922,10
"28","Ansium",15.666,44.179,10
"29","Iader",15.4483,43.9393,10
"30","Issa, insula",16.1865,43.0655,10
"31","Municipium Magnum",16.2988,43.8047,10
"32","Senia",14.902,44.9931,10
"33","Delminium",17.2302,43.7183,9
"34","Municipium S[---]",19.3204,43.3424,9
"35","Siculi",16.3004,43.5306,9
"36","Crexa",14.3542,45.112,8
"37","Curicum",14.7407,44.9742,8
"38","Arba",14.7596,44.7565,7
"39","Buthoe",18.8351,42.2789,7
"40","Sidrona",15.7481,44.1354,7
"41","Argyruntum",15.4403,44.2951,6
"42","Cissa",14.914,44.546,6
"43","Epetium",16.5235,43.4987,6
"44","NULL",16.9737159,43.8406854,6
"45","Narona",17.6884,43.0645,6
"46","Pelva",16.7779,43.871,6
"47","Solentia, insula",16.2752,43.3972,6
"48","Alveria",15.8139,43.9937,5
"49","Hedum Castellum Daesitiatium",18.2634,44.0184,5
"50","NULL",16.36568,44.1808174,5
"51","NULL",17.0042416,43.8259136,5
"52","Pituntium",16.5681,43.4741,5
"53","NULL",15.9208,43.8227,4
"54","NULL",16.9737189,43.3348513,4
"55","NULL",17.540558,43.1904758,4
"56","Promona",16.2114,43.8955,4
"57","Ris---",18.9996,43.7977,4
"58","Tarsatica",14.4444,45.3278,4
"59","Arupium",15.2789,44.8428,3
"60","Brattia, insula",16.5444,43.3436,3
"61","Colentum, insula",15.595,43.8257,3
"62","Lissus",19.6468,41.7797,3
"63","NULL",16.654819,43.3239838,3
"64","NULL",17.6076793,43.8230831,3
"65","NULL",18.0402685,43.9494237,3
"66","Ad Turres",17.751,43.1604,2
"67","Ansium",15.6655,44.1788,2
"68","Cissa, insula",15.207,44.3262,2
"69","Diluntum",17.8414,43.1138,2
"70","Epidotium - Ancus",15.4557,44.6142,2
"71","NULL",15.0315195,44.0211315,2
"72","NULL",15.232136,44.1186078,2
"73","NULL",15.2452183,45.6142808,2
"74","NULL",16.2255311,44.6876805,2
"75","NULL",17.2354538,43.38889,2
"76","NULL",17.3082922,43.9793723,2
"77","NULL",17.4288843,42.925148,2
"78","NULL",17.8904391,43.2575855,2
"79","NULL",19.2654984,42.4686384,2
"80","NULL",19.626587,43.3691604,2
"81","NULL",19.7176308,43.2309869,2
"82","NULL",20.0772378,42.3723673,2
"83","Salonae",16.4919213,43.5441591,2
"84","Salthua",18.6462,42.7661,2
"85","Scodra",19.5277,42.0743,2
"86","Ad Turres",17.625,43.0801,1
"87","Aquae S(---)",18.3426533,43.9016526,1
"88","Aufustianis",17.3588,43.3203,1
"89","Baloie",17.1009,44.285,1
"90","Boa, insula",16.3388,43.4995,1
"91","Capedunum",19.6639,43.8561,1
"92","Delminium",17.0825198,43.6908323,1
"93","Domavium",19.3585,44.1375,1
"94","Fulfinum",14.5441,45.204,1
"95","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"96","Laurento",17.0580946,43.2651336,1
"97","Lopsica",14.9201,44.9283,1
