"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,2851
"2","Narona",17.625,43.0801,112
"3","Iader",15.223778,44.115501,107
"4","Asseria",15.6844,44.0103,82
"5","Burnum",15.9936,44.0317,81
"6","Rider",16.0486,43.7034,77
"7","Municipium S[---]",19.3204,43.3424,69
"8","Raetinium",15.9292,44.7885,69
"9","Tilurium",16.689,43.6139,65
"10","Doclea",19.2615,42.469,56
"11","Aequum",16.6547,43.7423,48
"12","Bigeste",17.5271,43.1818,47
"13","Epetium",16.5235,43.4987,42
"14","Municipium Malvesiatium",19.5333,43.9667,39
"15","Risinium",18.6969,42.5098,38
"16","Tragurium",16.524,43.5594,38
"17","Aenona",15.1842,44.2435,36
"18","NULL",16.3977809,43.9096687,36
"19","Pituntium",16.5681,43.4741,35
"20","Municipium Salvium",16.8281,44.1301,34
"21","Ninia",16.1994,44.0408,28
"22","Delminium",17.2302,43.7183,24
"23","Nedinum",15.5095,44.0721,23
"24","Siculi",16.3004,43.5306,22
"25","Acruvium",18.689,42.4438,21
"26","Corinium",15.6256,44.1075,21
"27","Epidaurum",18.2137,42.5848,21
"28","Albona",14.1232,45.0949,20
"29","Apsorus",14.3919,44.693,18
"30","Brattia, insula",16.5444,43.3436,17
"31","Promona",16.2114,43.8955,17
"32","Buthoe",18.8351,42.2789,16
"33","Solentia, insula",16.2752,43.3972,16
"34","Andetrium",16.5206,43.6922,15
"35","Ansium",15.666,44.179,15
"36","Pelva",16.7779,43.871,13
"37","Iader",15.4483,43.9393,12
"38","Issa, insula",16.1865,43.0655,12
"39","NULL",16.4919213,43.5441591,12
"40","Nigra Corcyra, insula",17.1099,42.945,12
"41","Novae",17.1968,43.4057,12
"42","Domavium",19.3585,44.1375,11
"43","NULL",19.626587,43.3691604,11
"44","Pharus",16.6434,43.1661,11
"45","Flanona",14.1801,45.1382,10
"46","NULL",17.3482759,43.6566752,10
"47","Argyruntum",15.4403,44.2951,9
"48","Cissa",14.914,44.546,9
"49","Curicum",14.7407,44.9742,9
"50","Municipium Magnum",16.2988,43.8047,9
"51","NULL",17.9624801,43.6534733,9
"52","Arba",14.7596,44.7565,8
"53","Crexa",14.3542,45.112,8
"54","Hedum Castellum Daesitiatium",18.2634,44.0184,8
"55","NULL",16.199433,44.04085,8
"56","NULL",17.3082922,43.9793723,8
"57","NULL",17.9055721,44.2010759,8
"58","Narona",17.6884,43.0645,8
"59","Scardona",15.9208,43.8227,8
"60","Varvaria",15.9051,43.8892,8
"61","NULL",16.654819,43.3239838,7
"62","NULL",16.9737159,43.8406854,7
"63","NULL",17.0042416,43.8259136,7
"64","NULL",17.7496291,44.1742841,7
"65","Oneum",16.7019,43.4422,7
"66","Senia",14.902,44.9931,7
"67","Arupium",15.2789,44.8428,6
"68","Capedunum",19.5333,43.9667,6
"69","Diluntum",17.8414,43.1138,6
"70","NULL",16.9482271,43.3582543,6
"71","NULL",18.0402685,43.9494237,6
"72","Sidrona",15.7481,44.1354,6
"73","Ad Turres",17.751,43.1604,5
"74","NULL",16.36568,44.1808174,5
"75","NULL",16.6062547,43.4936069,5
"76","NULL",16.6582352,44.0718561,5
"77","NULL",17.540558,43.1904758,5
"78","Salviae",16.7894,44.0726,5
"79","Baloie",17.1009,44.285,4
"80","NULL",15.1840255,44.2430736,4
"81","NULL",15.4641845,44.1170532,4
"82","NULL",16.2255311,44.6876805,4
"83","NULL",16.9737189,43.3348513,4
"84","NULL",17.1359692,42.9617883,4
"85","NULL",17.6076793,43.8230831,4
"86","NULL",17.6258524,43.0804139,4
"87","NULL",17.6661738,44.2259454,4
"88","NULL",17.791462,44.150409,4
"89","NULL",18.0640574,44.7072623,4
"90","NULL",19.2933519,43.7844137,4
"91","NULL",19.6496772,43.3891969,4
"92","NULL",20.0772378,42.3723673,4
"93","Salonae",16.4919213,43.5441591,4
"94","Alveria",15.8139,43.9937,3
"95","Ancus",15.5014,44.5265,3
"96","Colentum, insula",15.595,43.8257,3
"97","Epidotium - Ancus",15.4557,44.6142,3
"98","Lissus",19.6468,41.7797,3
"99","NULL",15.6335444,44.1358546,3
"100","NULL",15.669073,44.0203427,3
"101","NULL",15.7403448,44.4509084,3
"102","NULL",15.766236,44.5327181,3
"103","NULL",15.9208,43.8227,3
"104","NULL",16.5498635,43.4877119,3
"105","NULL",16.6534966,43.7425382,3
"106","NULL",16.6913309,43.4447124,3
"107","NULL",17.0840064,44.4165716,3
"108","NULL",17.1534312,43.4703365,3
"109","NULL",17.2795401,43.1404702,3
"110","NULL",17.4288843,42.925148,3
"111","NULL",17.6962001,42.8383616,3
"112","NULL",17.8904391,43.2575855,3
"113","NULL",18.5324678,43.1681651,3
"114","NULL",19.2654984,42.4686384,3
"115","NULL",19.3209528,43.6511643,3
"116","Salthua",18.6462,42.7661,3
"117","Scodra",19.5277,42.0743,3
"118","(Domavium) Ad Drinum",19.1032,44.3869,2
"119","Ansium",15.6655,44.1788,2
"120","Aquae S[---]",18.2991,43.8313,2
"121","Bersellum",17.5765,44.241,2
"122","Boa, insula",16.3388,43.4995,2
"123","Cissa, insula",15.207,44.3262,2
"124","Laurento",16.6913309,43.4447124,2
"125","NULL",14.4132039,44.8367826,2
"126","NULL",15.44778,44.44889,2
"127","NULL",15.5486303,45.4892522,2
"128","NULL",15.8541589,43.8073218,2
"129","NULL",16.0181762,44.0183606,2
"130","NULL",16.2226592,44.0169772,2
"131","NULL",16.708363,44.9778475,2
"132","NULL",16.8628447,44.3205357,2
"133","NULL",16.9440416,43.8561788,2
"134","NULL",17.1008778,44.2850487,2
"135","NULL",17.2179703,43.4471115,2
"136","NULL",17.2354538,43.38889,2
"137","NULL",17.2705155,44.3395173,2
"138","NULL",17.2733543,43.0080442,2
"139","NULL",17.4360676,43.0524293,2
"140","NULL",17.5172138,43.2253241,2
"141","NULL",17.5341165,44.5634184,2
"142","NULL",17.5889536,45.3250365,2
"143","NULL",17.8843332,43.6968033,2
"144","NULL",18.0486381,43.8683908,2
"145","NULL",18.0782775,43.9438172,2
"146","NULL",18.0791069,43.9586303,2
"147","NULL",18.1189478,44.1301029,2
"148","NULL",18.1520712,43.7874012,2
"149","NULL",18.2177461,42.5814314,2
"150","NULL",18.2183333,44.8813889,2
