"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",1,446319,"EDCS-28600115","HD056763",101,300,"Dianae Celce/itidi / Flavius Si[lva]/nus pos(uit)","Dianae Celceitidi Flavius Silvanus posuit","votive inscription","votive inscription","statue","Achaia","Dalmatia","Nikolara / Nikopoli / Nicopolis","NULL","NULL","tria nomina, viri",39.0090835,20.7343319,1
"2",4,467864,"EDCS-28600116","HD062164",151,300,"Maximianus bot/um(!) solbit(!)","Maximianus botum solbit","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","?","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"3",6,467866,"EDCS-28600118","HD062306",14,37,"Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello Delma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Delmatico ob honorem II viratus cum liberis suis posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","?","Aenona","Nin","Augusti/Augustae, ordo decurionum, tria nomina, viri",44.2435,15.1842,1
"4",7,467868,"EDCS-28600120","HD062304",151,300,"D(eo) S(oli) I(nvicto) o(mnipotenti) M(ithrae) / aeterno / sacrum / [A]tilius Tert/[iu]s ex voto / lib{i}ens / posuit","Deo Soli Invicto omnipotenti Mithrae aeterno sacrum Atilius Tertius ex voto libiens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"5",8,467869,"EDCS-28600121","HD060162",1,150,"Trivis / C(aius) Aristius / Clemens // ex vot[o l(ibens) s(olvit)] m(erito)","Trivis Caius Aristius Clemens ex voto libens solvit merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"6",19,467930,"EDCS-27800690","HD018333",101,300,"Dis Asca(enis) et / Matri Magn(a)e / Ian(a)e [l(ibens)] m(erito)","Dis Ascaenis et Matri Magnae Ianae libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Oneum","Omiš",NA,43.4422,16.7019,1
"7",26,467947,"EDCS-30600086","HD043454",101,300,"Lib(ero) P(atri) / T(itus) Aurel(ius) / Proculus / l(ibens) p(osuit)","Libero Patri Titus Aurelius Proculus libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","tria nomina, viri",43.9667,19.5333,1
"8",29,467950,"EDCS-30800055","HD059947",1,300,"I(ovi) O(ptimo) M(aximo) / Statius / Victor Bri/zidia v(oto) l(ibens) p(osuit)","Iovi Optimo Maximo Statius Victor Brizidia voto libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Babin Potok / Babispotok / Municipium Splonistarum","Municipium S[---]","Pljevlja","tria nomina, viri",43.3424,19.3204,1
"9",30,467951,"EDCS-06100486","HD018339",151,230,"I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"10",31,467952,"EDCS-30600088","HD043582",101,300,"I(ovi) O(ptimo) M(aximo) / T(itus) Aur(elius) Mena[n?]d(er?) / [------","Iovi Optimo Maximo Titus Aurelius Menander","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","tria nomina, viri",43.9667,19.5333,1
"11",33,467954,"EDCS-10100514","HD033777",151,300,"I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [-] Ael(ius) Apri[lis] / [b(ene)]f(iciarius) co(n)s(ularis) [v(otum)? s(olvit)?] / l(ibens) m(erito)","Iovi Optimo Maximo Iunoni Minervae Aelius Aprilis beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"12",38,467959,"EDCS-59500033","HD072545",151,300,"[I(ovi)?] O(ptimo?) [M(aximo)?] / [P]etroni[--] / [------","Iovi Optimo Maximo Petroni","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","viri",43.8047,16.2988,1
"13",39,467960,"EDCS-70600078","HD072544",1,200,"[Iu]noni / [---] Ael(ia) / [---]uaria / [v(otum) s(olvit)] l(ibens) m(erito)","Iunoni Aelia uaria votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Baljci","Municipium Magnum","Ružić","mulieres, tria nomina",43.8047,16.2988,1
"14",40,467961,"EDCS-32201030","HD052469",151,300,"I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Banja Luka / Castra","Castra","Banja Luka","milites, tria nomina, viri",44.785,17.0998,1
"15",62,467985,"EDCS-10100455","HD027022",131,200,"I(ovi) O(ptimo) M(aximo) / T(itus) Ael(ius) Cel/sinus / dec(urio) l(ibens) p(osuit) // COR(---) // ALB(---)","Iovi Optimo Maximo Titus Aelius Celsinus decurio libens posuit COR ALB","votive inscription","votive inscription","altar","Dalmatia","Moesia superior","Benkovac / Asseria","NULL","Klinë / Klina","ordo decurionum, tria nomina, viri",44.0333509,15.6125528,1
"16",65,467989,"EDCS-09400591","HD010870",1,300,"RVSI[--] / MACIV[--] / CIVSIV[--] / [---]nibus","RVSI MACIV CIVSIV nibus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bicine / Bicina","Nedinum","Polača, bei",NA,44.0721,15.5095,1
"17",91,468015,"EDCS-30100696","HD034116",1,300,"Bindo N[ept]u/no sa[c]r(um) / Casu[---]ni / MO(?)[------","Bindo Neptuno sacrum Casu ni MO","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"18",92,468016,"EDCS-32300071","HD052240",69,79,"[T(itus) F]lavius / [---]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","Augusti/Augustae, milites, ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"19",93,468017,"EDCS-31300291","HD052235",101,200,"Bindo Neptuno / sacrum / Proculus Parm/anic(us) praepos(itus) / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Proculus Parmanicus praepositus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"20",94,468018,"EDCS-31300292","HD052238",1,150,"B[i]ndo Neptuno / sacr(um) / Licinus Teuda / praep(ositus) et pri[n(ceps)] / Ia[p]odum / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Licinus Teuda praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"21",95,468019,"EDCS-32300072","HD058041",101,300,"[Bindo Nep]tuno / [sacrum? ------","Bindo Neptuno sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"22",97,468021,"EDCS-32300074","HD052278",51,150,"T(itus) Loantius / Rufus / praepositus / Iapodum / v(otum) s(olvit) l(ibens) m(erito)","Titus Loantius Rufus praepositus Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"23",104,468028,"EDCS-32200025","HD052275",201,300,"Bi[ndo Neptun]o / s[acrum] / [--- Li?]cin[ius?] / Galba / mil(es) leg(ionis) I ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit)]","Bindo Neptuno sacrum Licinius Galba miles legionis I adiutricis beneficiarius consularis votum solvit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"24",106,468030,"EDCS-32200027","HD052272",201,300,"Bindo N(eptuno) s(acrum) / ob [h]onor(em) / [---]I(?)V[-](?)sti PRO/[---]G amici / p(osuerunt)","Bindo Neptuno sacrum ob honorem IV sti PRO G amici posuerunt","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","tria nomina, viri",44.7885,15.9292,1
"25",108,468032,"EDCS-32700943","HD000692",151,300,"[Ul]p(ius) Satu/[r]ninu[s] / [S]ilvano / [------?","Ulpius Saturninus Silvano","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","tria nomina, viri",44.7885,15.9292,1
"26",109,468033,"EDCS-10000317","HD033286",201,300,"Libero / P[atri] s(acrum) / [---]F / [------]","Libero Patri sacrum F","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"27",121,468045,"EDCS-10000329","HD032737",1,300,"I(ovi) O(ptimo) M(aximo) / C(---) T(---) P(---)","Iovi Optimo Maximo C T P","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","tria nomina, viri",44.7885,15.9292,1
"28",122,468046,"EDCS-10100657","HD033981",1,300,"Liberae / Iulia M(a)ximina / v(otum) s(olvit) l(ibens) m(erito)","Liberae Iulia Maximina votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","mulieres, tria nomina",44.7885,15.9292,1
"29",130,468056,"EDCS-10100712","HD022127",101,300,"Deae Iuno/ni sancta(e) / aram posu/it Iunia / Varena","Deae Iunoni sanctae aram posuit Iunia Varena","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bijelo Polje","NULL","Mostar","mulieres, tria nomina",43.0337081,19.7469527,1
"30",131,468057,"EDCS-10100775","HD034121",101,300,"Herc(uli) Aug(usto) / S(extus?) Ael(ius) Dom(i)/tianus p(ius?) / posuit","Herculi Augusto Sextus Aelius Domitianus pius posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bijelo Polje","NULL","Bijelo Polje","tria nomina, viri",43.0337081,19.7469527,1
"31",136,468062,"EDCS-10101893","HD035659",101,200,"Baebiu[s] / Priscu[s] / Volcano / v(otum) s(olvit) l(ibens) m(erito)","Baebius Priscus Volcano votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Biograd na Moru / Zaravecchia / Nedinum","Nedinum","Benkovac","tria nomina, viri",44.0721,15.5095,1
"32",140,468066,"EDCS-09300007","HD012531",201,270,"In(victo) M(ithrae) / T(itus) Aur(elius) Seve/rus l(ibens) p(osuit)","Invicto Mithrae Titus Aurelius Severus libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bioska","Capedunum","Užice","tria nomina, viri",43.8561,19.6639,1
"33",141,468067,"EDCS-30200393","HD031791",151,200,"I(ovi) O(ptimo) Par(thino) / Aur(elius) Dasius / IIvir / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Parthino Aurelius Dasius II vir votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bioska","Capedunum","Užice","ordo decurionum, tria nomina, viri",43.8561,19.6639,1
"34",142,468068,"EDCS-10100513","HD033776",1,300,"[L]ib(ero) P(atri) / [------] / [---] ex / [v]ot[o]","Libero Patri ex voto","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bioska","Capedunum","Užice",NA,43.8561,19.6639,1
"35",146,468072,"EDCS-10000642","HD033891",1,300,"I(ovi) O(ptimo) M(aximo)","Iovi Optimo Maximo","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bjelovac / Domavium","NULL","Bratunac",NA,43.8369444,18.7169444,1
"36",147,468073,"EDCS-08500497","HD000683",1,100,"I(ovi) O(ptimo) M(aximo) / sacr(um) / P(ublius) Vo/lusi/us Se/[---](?) / [------?","Iovi Optimo Maximo sacrum Publius Volusius Se","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Blagaj","NULL","Novi Grad","tria nomina, viri",43.2575855,17.8904391,1
"37",148,468074,"EDCS-10000777","HD034207",201,300,"Silvanis / Aug(ustis) sac(rum) / Callimor/phus Aug(usti) / n(ostri) verna / disp(ensator) v(otum) s(olvit)","Silvanis Augustis sacrum Callimorphus Augusti nostri verna dispensator votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Blagaj","NULL","Novi Grad","nomen singulare, officium/professio, servi/servae, viri",43.2575855,17.8904391,1
"38",152,468078,"EDCS-51800206","HD052232",171,300,"Silvia vot(um) n(uncupavit)","Silvia votum nuncupavit","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","Blazuj","Aquae S[...]","Ilidža","mulieres, nomen singulare",43.8313,18.2991,1
"39",154,468080,"EDCS-32700537","HD052554",101,300,"[H]e[r]cul(i) / [A]ug(usto) sac(rum) / [------","Herculi Augusto sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Borcani / Delminium","Delminium","Tomislavgrad",NA,43.7183,17.2302,1
"40",161,468087,"EDCS-10000264","HD033145",201,300,"Herculi s(acrum) / G(aius) Trosius / Cripu[s] / vot[um lib(ens)?] / p[osuit?] / [l?]a&lt;e?&gt;tus d(onum?) m(erito?) s(olvit?)","Herculi sacrum Gaius Trosius Cripus votum libens posuit la lt e gt tus donum merito solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo","tria nomina, viri",44.1808174,16.36568,1
"41",162,468088,"EDCS-10000265","HD033148",1,300,"Apriclus // S(ilvano) S(ilvestri) s(acrum) / Monta/nus pos(uit)","Apriclus Silvano Silvestri sacrum Montanus posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo","nomen singulare, viri",44.1808174,16.36568,1
"42",163,468089,"EDCS-10100765","HD022752",1,100,"S(ilvano) S(ilvestri) Primus / Vepi l(ibens) p(osuit)","Silvano Silvestri Primus Vepi libens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo","nomen singulare, viri",44.1808174,16.36568,1
"43",167,468093,"EDCS-08901081","HD008209",211,222,"I(ovi) O(ptimo) M(aximo) // T(itus) Fl(avius) Pompeius / |(centurio) coh(ortis) III / Alpinorum / Antoninianae / curam agens / FAB(---) AMP(---) MEN(---) et / Vibius Vibianus // protector / co(n)s(ularis)","Iovi Optimo Maximo Titus Flavius Pompeius centurio cohortis III Alpinorum Antoninianae curam agens FAB AMP MEN et Vibius Vibianus protector consularis","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","milites, tria nomina, viri",43.3239838,16.654819,1
"44",168,468094,"EDCS-08901082","HD008212",171,250,"Ascle/pio / Val(eria) C(h)ry/sis v(otum) s(olvit)","Asclepio Valeria Chrysis votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","tria nomina, viri",43.3239838,16.654819,1
"45",169,468095,"EDCS-28400346","HD056615",1,150,"H(erculi) A(ugusto) s(acrum) / [S?]al&lt;v=N?&gt;ius Obul/tronius / De[x]ter ","Herculi Augusto sacrum Sal lt v gt ius Obultronius Dexter","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","tria nomina, viri",43.3239838,16.654819,1
"46",170,468096,"EDCS-28400347","HD061086",151,300,"Vesel(l)ia(!) / Felicetas(!) / Libero M(agno) Patri / Torc(u)le(n)si / ex voto","Vesellia Felicetas Libero Magno Patri Torculensi ex voto","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","mulieres, tria nomina",43.3239838,16.654819,1
"47",171,468097,"EDCS-28400348","HD061089",151,300,"L(ibero) P(atri) // Aristi/o / v(otum) l(ibens) s(olvit)","Libero Patri Aristio votum libens solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","nomen singulare, viri",43.3239838,16.654819,1
"48",172,468098,"EDCS-28400349","HD053176",151,250,"S(oli) I(nvicto) M(ithrae) / Iulius / Bubalus","Soli Invicto Mithrae Iulius Bubalus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","tria nomina, viri",43.3239838,16.654819,1
"49",173,468099,"EDCS-28400350","HD061109",101,200,"Nymphis s(acrum) / Q(uintus) Silvius Spe(ratus) / cent(urio) coh(ortis) I Belg(arum) / curagens theat(ri) / d(onum) d(edit)","Nymphis sacrum Quintus Silvius Speratus centurio cohortis I Belgarum curagens theatri donum dedit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","milites, tria nomina, viri",43.3239838,16.654819,1
